Fichier analysé : netmob_for_awsctd.csv
Total séquences : 7700
Anomalies détectées : 342
Date: 20190501 | Tile: Facebook_DL_Tile_100006.txt | Confiance: 0.9516
Date: 20190422 | Tile: Facebook_DL_Tile_100006.txt | Confiance: 0.9028
Date: 20190512 | Tile: Facebook_DL_Tile_100006.txt | Confiance: 0.9995
Date: 20190508 | Tile: Facebook_DL_Tile_100006.txt | Confiance: 0.9026
Date: 20190501 | Tile: Facebook_DL_Tile_100019.txt | Confiance: 0.9343
Date: 20190422 | Tile: Facebook_DL_Tile_100019.txt | Confiance: 0.9258
Date: 20190512 | Tile: Facebook_DL_Tile_100019.txt | Confiance: 0.9998
Date: 20190508 | Tile: Facebook_DL_Tile_100019.txt | Confiance: 0.9492
Date: 20190501 | Tile: Facebook_DL_Tile_100025.txt | Confiance: 0.9207
Date: 20190422 | Tile: Facebook_DL_Tile_100025.txt | Confiance: 0.9545
Date: 20190512 | Tile: Facebook_DL_Tile_100025.txt | Confiance: 0.9710
Date: 20190508 | Tile: Facebook_DL_Tile_100025.txt | Confiance: 0.9504
Date: 20190422 | Tile: Facebook_DL_Tile_100203.txt | Confiance: 0.9735
Date: 20190512 | Tile: Facebook_DL_Tile_100203.txt | Confiance: 1.0000
Date: 20190508 | Tile: Facebook_DL_Tile_100203.txt | Confiance: 0.9702
Date: 20190501 | Tile: Facebook_DL_Tile_100256.txt | Confiance: 0.9467
Date: 20190422 | Tile: Facebook_DL_Tile_100256.txt | Confiance: 0.9394
Date: 20190512 | Tile: Facebook_DL_Tile_100256.txt | Confiance: 0.9997
Date: 20190508 | Tile: Facebook_DL_Tile_100256.txt | Confiance: 0.9245
Date: 20190422 | Tile: Facebook_DL_Tile_100258.txt | Confiance: 0.9343
Date: 20190512 | Tile: Facebook_DL_Tile_100258.txt | Confiance: 1.0000
Date: 20190508 | Tile: Facebook_DL_Tile_100258.txt | Confiance: 0.9685
Date: 20190501 | Tile: Facebook_DL_Tile_100271.txt | Confiance: 0.9480
Date: 20190422 | Tile: Facebook_DL_Tile_100271.txt | Confiance: 0.9282
Date: 20190512 | Tile: Facebook_DL_Tile_100271.txt | Confiance: 0.9994
Date: 20190508 | Tile: Facebook_DL_Tile_100271.txt | Confiance: 0.9530
Date: 20190501 | Tile: Facebook_DL_Tile_100553.txt | Confiance: 0.9243
