id,score
Facebook_62968_20190401,-340048.1
Facebook_65541_20190316,-106690.836
Facebook_66115_20190518,-6494835.5
Facebook_66115_20190316,-345961.28
Facebook_66115_20190406,-796993.75
Facebook_66115_20190525,-15398888.0
Netflix_56377_20190404,-1266213.6
Netflix_56378_20190404,-46552804.0
Netflix_56379_20190404,-1348540.2
Netflix_56642_20190403,-704053.44
Facebook_100772_20190512,-3.0431635
Facebook_100827_20190512,-3.5636342
Facebook_101680_20190512,-12.946225
Facebook_10372_20190512,-1.9216641
Facebook_114279_20190512,-2.5993683
Facebook_115426_20190512,-3.7295935
Facebook_115988_20190512,-3.4710352
Facebook_14989_20190512,-1.8634022
Facebook_15844_20190512,-2.1779008
Facebook_1786_20190512,-5.899906
Facebook_19026_20190512,-2.283661
Facebook_2362_20190512,-3.4036674
Facebook_25086_20190512,-2.110579
Facebook_25630_20190512,-4.144933
Facebook_25632_20190512,-4.616657
Facebook_26533_20190512,-2.0973694
Facebook_26792_20190512,-2.4294593
Facebook_27062_20190512,-6.3366942
Facebook_27063_20190512,-3.6233094
Facebook_27083_20190512,-2.5202928
Facebook_27355_20190512,-4.75296
Facebook_27933_20190512,-6.123701
Facebook_28521_20190512,-3.7399504
Facebook_29094_20190512,-1.8978657
Facebook_30238_20190512,-2.8881748
Facebook_30240_20190512,-2.4469612
Facebook_31453_20190512,-2.0332162
Facebook_32237_20190512,-2.8204434
Facebook_32323_20190512,-5.4174
Facebook_32346_20190512,-5.313449
Facebook_3238_20190512,-2.1329448
Facebook_32519_20190512,-3.5823681
Facebook_33089_20190512,-10.265208
Facebook_33101_20190512,-7.929321
Facebook_33120_20190512,-2.6909091
Facebook_33399_20190512,-2.0762956
Facebook_34538_20190512,-3.990923
Facebook_34933_20190512,-1.9249539
Facebook_35163_20190512,-2.546612
Facebook_35395_20190512,-4.8529353
Facebook_35397_20190512,-3.643758
Facebook_35398_20190512,-3.62558
Facebook_35682_20190512,-5.288427
Facebook_35764_20190512,-1.9261231
Facebook_36551_20190512,-2.4122703
Facebook_36621_20190512,-1.8610601
Facebook_36819_20190512,-6.5680804
Facebook_37740_20190512,-4.394428
Facebook_38020_20190512,-3.4777067
Facebook_38619_20190512,-2.9460583
Facebook_38634_20190512,-3.303366
Facebook_39197_20190512,-2.8471498
Facebook_39530_20190512,-2.878029
Facebook_39776_20190512,-3.4420917
Facebook_39965_20190512,-2.8827302
Facebook_40073_20190512,-8.78409
Facebook_40257_20190512,-4.74424
Facebook_40360_20190512,-3.794214
Facebook_40674_20190512,-3.7037504
Facebook_41481_20190512,-5.5704904
