id,score
Netflix_45541_20190508,-4.5588937
Facebook_10372_20190512,-2.0425003
Facebook_1786_20190512,-9.588704
Facebook_2362_20190512,-3.7290852
Facebook_25630_20190512,-1.9614887
Facebook_25632_20190512,-6.9958043
Facebook_27933_20190512,-2.6025844
Facebook_28521_20190512,-46.335022
Facebook_32346_20190512,-2.2100792
Facebook_3238_20190512,-1.8576556
Facebook_33089_20190512,-2.225763
Facebook_33101_20190512,-1.8763527
Facebook_33120_20190512,-6.0252194
Facebook_34538_20190512,-2.1629572
Facebook_34648_20190512,-1.9543008
Facebook_35163_20190512,-2.6152508
Facebook_35398_20190512,-2.8694475
Facebook_38020_20190512,-3.5608053
Facebook_40073_20190512,-2.837858
Facebook_42256_20190512,-1.9943609
Facebook_42614_20190512,-2.008005
Facebook_43987_20190512,-2.052076
Facebook_44334_20190512,-1.9671322
Facebook_44336_20190512,-2.8282511
Facebook_45538_20190430,-2.1685193
Facebook_45538_20190518,-2.4674351
Facebook_45538_20190414,-2.302152
Facebook_45538_20190407,-2.1139767
Facebook_45538_20190325,-2.0563817
Facebook_45538_20190412,-2.3083081
Facebook_45538_20190423,-2.3061156
Facebook_45538_20190519,-2.4223115
Facebook_45538_20190316,-2.2255619
Facebook_45538_20190406,-2.375035
Facebook_45538_20190408,-2.1878848
Facebook_45538_20190526,-2.5593987
Facebook_45538_20190501,-1.9856812
Facebook_45538_20190429,-2.161411
Facebook_45538_20190403,-2.144424
Facebook_45538_20190428,-2.4202955
Facebook_45538_20190418,-2.0062344
Facebook_45538_20190331,-2.5656376
Facebook_45538_20190424,-2.2062945
Facebook_45538_20190410,-2.328017
Facebook_45538_20190502,-1.9827256
Facebook_45538_20190511,-1.8879915
Facebook_45538_20190524,-2.395983
Facebook_45538_20190330,-2.1103868
Facebook_45538_20190420,-2.0964983
Facebook_45538_20190525,-2.395906
Facebook_45538_20190321,-2.2669616
Facebook_45538_20190413,-2.4440634
Facebook_45538_20190505,-1.8826294
Facebook_45538_20190426,-2.26807
Facebook_45538_20190404,-2.1909087
Facebook_45538_20190422,-2.1426363
Facebook_45538_20190417,-2.2384403
Facebook_45538_20190520,-2.5229928
Facebook_45538_20190322,-2.4145954
Facebook_45538_20190521,-2.420983
Facebook_45538_20190405,-2.2186334
Facebook_45538_20190515,-2.2607224
Facebook_45538_20190514,-2.0058346
Facebook_45538_20190510,-1.9788619
Facebook_45538_20190319,-1.9981236
Facebook_45538_20190517,-2.225104
Facebook_45538_20190318,-2.025839
Facebook_45538_20190527,-2.346492
Facebook_45538_20190317,-2.2152297
Facebook_45538_20190326,-2.0356648
Facebook_45538_20190509,-1.8513349
Facebook_45538_20190320,-2.2908275
Facebook_45538_20190327,-2.6300397
Facebook_45538_20190531,-2.38419
Facebook_45538_20190409,-2.0134618
Facebook_45538_20190522,-2.5267324
Facebook_45538_20190508,-1.8593174
Facebook_45538_20190425,-2.2172062
Facebook_45538_20190402,-2.1701176
Facebook_45538_20190416,-2.2088113
Facebook_45538_20190329,-2.4672375
Facebook_45538_20190530,-2.3173313
Facebook_45538_20190411,-2.1453483
Facebook_45538_20190324,-2.2162352
Facebook_45538_20190323,-2.5100586
Facebook_45538_20190328,-2.2675161
Facebook_45538_20190529,-2.6130655
Facebook_45538_20190516,-2.0243196
Facebook_45538_20190427,-2.2802298
Facebook_45538_20190421,-2.246974
Facebook_45538_20190419,-2.0936499
Facebook_45538_20190528,-2.6486127
Facebook_45538_20190513,-2.0005662
Facebook_45538_20190523,-2.6240497
Facebook_45538_20190415,-2.2552385
Facebook_47585_20190512,-1.9277853
Facebook_48592_20190317,-2.0378225
Facebook_49294_20190512,-2.0443072
Facebook_50026_20190317,-2.636196
Facebook_50991_20190521,-2.1639104
Facebook_50991_20190405,-1.857144
Facebook_50991_20190527,-1.90156
Facebook_50991_20190416,-2.7365692
Facebook_50991_20190529,-2.0155282
Facebook_50991_20190528,-1.9955808
Facebook_52335_20190530,-1.839661
Facebook_54916_20190531,-1.9886817
Facebook_54916_20190530,-2.6332252
Facebook_54955_20190316,-1.9499632
Facebook_54955_20190331,-1.945454
Facebook_54955_20190511,-1.9044561
Facebook_54955_20190524,-1.8701158
